nohup: ignoring input
Files already downloaded and verified
[2023-04-03 21:34:17] [INFO] batch:40/391 lossAver:1.766137
[2023-04-03 21:34:19] [INFO] batch:50/391 lossAver:1.759792
[2023-04-03 21:34:20] [INFO] batch:60/391 lossAver:1.754170
[2023-04-03 21:34:21] [INFO] batch:70/391 lossAver:1.751970
[2023-04-03 21:34:22] [INFO] batch:80/391 lossAver:1.747636
[2023-04-03 21:34:23] [INFO] batch:90/391 lossAver:1.734968
[2023-04-03 21:34:24] [INFO] batch:100/391 lossAver:1.734185
[2023-04-03 21:34:25] [INFO] batch:110/391 lossAver:1.726563
[2023-04-03 21:34:26] [INFO] batch:120/391 lossAver:1.721287
[2023-04-03 21:34:27] [INFO] batch:130/391 lossAver:1.713370
[2023-04-03 21:34:28] [INFO] batch:140/391 lossAver:1.703098
[2023-04-03 21:34:29] [INFO] batch:150/391 lossAver:1.698082
[2023-04-03 21:34:30] [INFO] batch:160/391 lossAver:1.690105
[2023-04-03 21:34:31] [INFO] batch:170/391 lossAver:1.682316
[2023-04-03 21:34:32] [INFO] batch:180/391 lossAver:1.674920
[2023-04-03 21:34:33] [INFO] batch:190/391 lossAver:1.668706
[2023-04-03 21:34:34] [INFO] batch:200/391 lossAver:1.660491
[2023-04-03 21:34:35] [INFO] batch:210/391 lossAver:1.657118
[2023-04-03 21:34:36] [INFO] batch:220/391 lossAver:1.653200
[2023-04-03 21:34:37] [INFO] batch:230/391 lossAver:1.647857
[2023-04-03 21:34:38] [INFO] batch:240/391 lossAver:1.644063
[2023-04-03 21:34:39] [INFO] batch:250/391 lossAver:1.639204
[2023-04-03 21:34:40] [INFO] batch:260/391 lossAver:1.633468
[2023-04-03 21:34:41] [INFO] batch:270/391 lossAver:1.626686
[2023-04-03 21:34:42] [INFO] batch:280/391 lossAver:1.621644
[2023-04-03 21:34:43] [INFO] batch:290/391 lossAver:1.616072
[2023-04-03 21:34:44] [INFO] batch:300/391 lossAver:1.611170
[2023-04-03 21:34:45] [INFO] batch:310/391 lossAver:1.605707
[2023-04-03 21:34:46] [INFO] batch:320/391 lossAver:1.600951
[2023-04-03 21:34:47] [INFO] batch:330/391 lossAver:1.596000
[2023-04-03 21:34:48] [INFO] batch:340/391 lossAver:1.592594
[2023-04-03 21:34:49] [INFO] batch:350/391 lossAver:1.589665
[2023-04-03 21:34:51] [INFO] batch:360/391 lossAver:1.586013
[2023-04-03 21:34:52] [INFO] batch:370/391 lossAver:1.581743
[2023-04-03 21:34:53] [INFO] batch:380/391 lossAver:1.577358
[2023-04-03 21:34:54] [INFO] batch:390/391 lossAver:1.574262
[2023-04-03 21:34:54] [INFO] lossList:[2.302417268533536, 2.142773258716554, 1.574035589652293]
[2023-04-03 21:35:00] [INFO] testAcc:[0.1042, 0.338, 0.4854]
[2023-04-03 21:35:00] [INFO] epoch: 04 / 50
[2023-04-03 21:35:01] [INFO] batch:10/391 lossAver:1.434881
[2023-04-03 21:35:02] [INFO] batch:20/391 lossAver:1.410463
[2023-04-03 21:35:03] [INFO] batch:30/391 lossAver:1.415068
[2023-04-03 21:35:04] [INFO] batch:40/391 lossAver:1.419234
[2023-04-03 21:35:05] [INFO] batch:50/391 lossAver:1.414046
[2023-04-03 21:35:06] [INFO] batch:60/391 lossAver:1.400838
[2023-04-03 21:35:07] [INFO] batch:70/391 lossAver:1.393385
[2023-04-03 21:35:08] [INFO] batch:80/391 lossAver:1.396195
[2023-04-03 21:35:09] [INFO] batch:90/391 lossAver:1.390099
[2023-04-03 21:35:10] [INFO] batch:100/391 lossAver:1.384232
[2023-04-03 21:35:11] [INFO] batch:110/391 lossAver:1.383283
[2023-04-03 21:35:12] [INFO] batch:120/391 lossAver:1.381644
[2023-04-03 21:35:13] [INFO] batch:130/391 lossAver:1.378062
[2023-04-03 21:35:14] [INFO] batch:140/391 lossAver:1.380216
[2023-04-03 21:35:15] [INFO] batch:150/391 lossAver:1.375501
[2023-04-03 21:35:16] [INFO] batch:160/391 lossAver:1.370900
[2023-04-03 21:35:17] [INFO] batch:170/391 lossAver:1.366534
[2023-04-03 21:35:18] [INFO] batch:180/391 lossAver:1.367120
[2023-04-03 21:35:19] [INFO] batch:190/391 lossAver:1.367198
[2023-04-03 21:35:20] [INFO] batch:200/391 lossAver:1.361589
[2023-04-03 21:35:21] [INFO] batch:210/391 lossAver:1.359999
[2023-04-03 21:35:22] [INFO] batch:220/391 lossAver:1.355808
[2023-04-03 21:35:23] [INFO] batch:230/391 lossAver:1.352731
[2023-04-03 21:35:24] [INFO] batch:240/391 lossAver:1.350731
[2023-04-03 21:35:25] [INFO] batch:250/391 lossAver:1.348870
[2023-04-03 21:35:26] [INFO] batch:260/391 lossAver:1.347265
[2023-04-03 21:35:27] [INFO] batch:270/391 lossAver:1.344215
[2023-04-03 21:35:29] [INFO] batch:280/391 lossAver:1.340400
[2023-04-03 21:35:30] [INFO] batch:290/391 lossAver:1.337874
[2023-04-03 21:35:31] [INFO] batch:300/391 lossAver:1.335927
[2023-04-03 21:35:32] [INFO] batch:310/391 lossAver:1.333584
[2023-04-03 21:35:33] [INFO] batch:320/391 lossAver:1.329058
[2023-04-03 21:35:34] [INFO] batch:330/391 lossAver:1.328210
[2023-04-03 21:35:35] [INFO] batch:340/391 lossAver:1.326547
[2023-04-03 21:35:36] [INFO] batch:350/391 lossAver:1.323392
[2023-04-03 21:35:37] [INFO] batch:360/391 lossAver:1.320304
[2023-04-03 21:35:38] [INFO] batch:370/391 lossAver:1.318019
[2023-04-03 21:35:39] [INFO] batch:380/391 lossAver:1.314948
[2023-04-03 21:35:40] [INFO] batch:390/391 lossAver:1.312123
[2023-04-03 21:35:40] [INFO] lossList:[2.302417268533536, 2.142773258716554, 1.574035589652293, 1.311826718432824]
[2023-04-03 21:35:46] [INFO] testAcc:[0.1042, 0.338, 0.4854, 0.5689]
[2023-04-03 21:35:46] [INFO] epoch: 05 / 50
[2023-04-03 21:35:47] [INFO] batch:10/391 lossAver:1.166195
[2023-04-03 21:35:48] [INFO] batch:20/391 lossAver:1.163172
[2023-04-03 21:35:49] [INFO] batch:30/391 lossAver:1.151710
[2023-04-03 21:35:50] [INFO] batch:40/391 lossAver:1.154251
[2023-04-03 21:35:51] [INFO] batch:50/391 lossAver:1.163727
[2023-04-03 21:35:52] [INFO] batch:60/391 lossAver:1.161846
[2023-04-03 21:35:53] [INFO] batch:70/391 lossAver:1.157748
[2023-04-03 21:35:54] [INFO] batch:80/391 lossAver:1.159774
[2023-04-03 21:35:55] [INFO] batch:90/391 lossAver:1.165759
[2023-04-03 21:35:56] [INFO] batch:100/391 lossAver:1.162997
[2023-04-03 21:35:58] [INFO] batch:110/391 lossAver:1.157928
[2023-04-03 21:35:59] [INFO] batch:120/391 lossAver:1.148705
[2023-04-03 21:36:00] [INFO] batch:130/391 lossAver:1.145441
[2023-04-03 21:36:01] [INFO] batch:140/391 lossAver:1.141417
[2023-04-03 21:36:02] [INFO] batch:150/391 lossAver:1.143056
[2023-04-03 21:36:03] [INFO] batch:160/391 lossAver:1.143853
[2023-04-03 21:36:04] [INFO] batch:170/391 lossAver:1.141601
[2023-04-03 21:36:05] [INFO] batch:180/391 lossAver:1.139729
[2023-04-03 21:36:06] [INFO] batch:190/391 lossAver:1.135418
[2023-04-03 21:36:07] [INFO] batch:200/391 lossAver:1.132946
[2023-04-03 21:36:08] [INFO] batch:210/391 lossAver:1.131981
